name,version,license,repo
e2fsprogs-libs,1.45.6-5.el8.x86_64,"GPLv2 and LGPLv2",@anaconda
ed,1.14.2-4.el8.x86_64,"GPLv3+ and GFDL",@anaconda
elfutils-debuginfod-client,0.189-3.el8.x86_64,"GPLv3+ and (GPLv2+ or LGPLv3+)",@baseos
elfutils-default-yama-scope,0.189-3.el8.noarch,"GPLv2+ or LGPLv3+",@baseos
elfutils-libelf,0.189-3.el8.x86_64,"GPLv2+ or LGPLv3+",@baseos
elfutils-libs,0.189-3.el8.x86_64,"GPLv2+ or LGPLv3+",@baseos
emacs-filesystem,26.1-11.el8.noarch,"GPLv3+ and CC0-1.0",@baseos
epel-release,8-19.el8.noarch,"GPLv2",@epel
ethtool,5.13-2.el8.x86_64,"GPLv2",@anaconda
expat,2.2.5-11.el8.x86_64,"MIT",@anaconda
file,5.33-25.el8.x86_64,"BSD",@baseos
file-libs,5.33-25.el8.x86_64,"BSD",@baseos
filesystem,3.8-6.el8.x86_64,"Public Domain",@anaconda
findutils,4.6.0-21.el8.x86_64,"GPLv3+",@baseos
firewalld,0.9.11-1.el8.noarch,"GPLv2+",@baseos
firewalld-filesystem,0.9.11-1.el8.noarch,"GPLv2+",@baseos
fontconfig,2.13.1-4.el8.x86_64,"MIT and Public Domain and UCD",@anaconda
fontpackages-filesystem,1.44-22.el8.noarch,"Public Domain",@anaconda
freeipmi,1.6.8-1.el8.x86_64,"GPLv3+",@anaconda
freetype,2.9.1-9.el8.x86_64,"(FTL or GPLv2+) and BSD and MIT and Public Domain and zlib with acknowledgement",@anaconda
fribidi,1.0.4-9.el8.x86_64,"LGPLv2+ and UCD",@appstream
fstrm,0.6.1-3.el8.x86_64,"MIT",@appstream
fuse-common,3.3.0-17.el8.x86_64,"GPL+",@baseos
fuse-libs,2.9.7-17.el8.x86_64,"LGPLv2+",@baseos
fuse-overlayfs,1.12-1.module_el8+454+d7ef4b8d.x86_64,"GPLv3+",@appstream
fuse3,3.3.0-17.el8.x86_64,"GPL+",@baseos
fuse3-libs,3.3.0-17.el8.x86_64,"LGPLv2+",@baseos
gawk,4.2.1-4.el8.x86_64,"GPLv3+ and GPLv2+ and LGPLv2+ and BSD",@anaconda
gdbm,1.18-2.el8.x86_64,"GPLv3+",@anaconda
gdbm-libs,1.18-2.el8.x86_64,"GPLv3+",@anaconda
gdisk,1.0.3-11.el8.x86_64,"GPLv2",@anaconda
gdk-pixbuf2,2.36.12-5.el8.x86_64,"LGPLv2+",@anaconda
gdk-pixbuf2-modules,2.36.12-5.el8.x86_64,"LGPLv2+",@appstream
geolite2-city,20180605-1.el8.noarch,"CC-BY-SA",@appstream
geolite2-country,20180605-1.el8.noarch,"CC-BY-SA",@appstream
gettext,0.19.8.1-17.el8.x86_64,"GPLv3+ and LGPLv2+",@anaconda
gettext-libs,0.19.8.1-17.el8.x86_64,"LGPLv2+ and GPLv3+",@anaconda
git,2.39.3-1.el8.x86_64,"GPLv2",@appstream
git-core,2.39.3-1.el8.x86_64,"GPLv2",@appstream
git-core-doc,2.39.3-1.el8.noarch,"GPLv2",@appstream
glib-networking,2.56.1-1.1.el8.x86_64,"LGPLv2+",@anaconda
glib2,2.56.4-161.el8.x86_64,"LGPLv2+",@anaconda
glibc,2.28-236.el8.x86_64,"LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL",@baseos
glibc-common,2.28-236.el8.x86_64,"LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL",@baseos
glibc-gconv-extra,2.28-236.el8.x86_64,"LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL",@baseos
glibc-langpack-en,2.28-236.el8.x86_64,"LGPLv2+ and LGPLv2+ with exceptions and GPLv2+ and GPLv2+ with exceptions and BSD and Inner-Net and ISC and Public Domain and GFDL",@baseos
glusterfs,6.0-56.4.el8.x86_64,"GPLv2 or LGPLv3+",@anaconda
glusterfs-client-xlators,6.0-56.4.el8.x86_64,"GPLv2 or LGPLv3+",@anaconda
glusterfs-fuse,6.0-56.4.el8.x86_64,"GPLv2 or LGPLv3+",@anaconda
glusterfs-libs,6.0-56.4.el8.x86_64,"GPLv2 or LGPLv3+",@anaconda
gmp,6.1.2-10.el8.x86_64,"LGPLv3+ or GPLv2+",@anaconda
gnupg2,2.2.20-3.el8.x86_64,"GPLv3+",@anaconda
gnupg2-smime,2.2.20-3.el8.x86_64,"GPLv3+",@anaconda
gnutls,3.6.16-7.el8.x86_64,"GPLv3+ and LGPLv2+",@baseos
gobject-introspection,1.56.1-1.el8.x86_64,"GPLv2+, LGPLv2+, MIT",@anaconda
gpgme,1.13.1-11.el8.x86_64,"LGPLv2+ and GPLv3+",@anaconda
gpm-libs,1.20.7-17.el8.x86_64,"GPLv2 and GPLv2+ with exceptions and GPLv3+ and Verbatim and Copyright only",@appstream
graphite2,1.3.10-10.el8.x86_64,"(LGPLv2+ or GPLv2+ or MPL) and (Netscape or GPLv2+ or LGPLv2+)",@appstream
grep,3.1-6.el8.x86_64,"GPLv3+",@anaconda
groff-base,1.22.3-18.el8.x86_64,"GPLv3+ and GFDL and BSD and MIT",@anaconda
grub2-common,2.02-129.el8.noarch,"GPLv3+",@anaconda
grub2-pc,2.02-129.el8.x86_64,"GPLv3+",@anaconda
grub2-pc-modules,2.02-129.el8.noarch,"GPLv3+",@anaconda
grub2-tools,2.02-129.el8.x86_64,"GPLv3+",@anaconda
grub2-tools-extra,2.02-129.el8.x86_64,"GPLv3+",@anaconda
grub2-tools-minimal,2.02-129.el8.x86_64,"GPLv3+",@anaconda
grubby,8.40-48.el8.x86_64,"GPLv2+",@baseos
gsettings-desktop-schemas,3.32.0-6.el8.x86_64,"LGPLv2+",@anaconda
gssproxy,0.8.0-21.el8.x86_64,"MIT",@anaconda
gtk-update-icon-cache,3.22.30-11.el8.x86_64,"LGPLv2+",@appstream
gtk2,2.24.32-5.el8.x86_64,"LGPLv2+",@appstream
gzip,1.9-13.el8.x86_64,"GPLv3+ and GFDL",@anaconda
